都府県地方番号,都府県地方名,地点区分,地点番号,地点名,地点名カナ,緯度,経度,標高,降水量,気温,風,日照,積雪,湿度,終了年月日,備考
15,空知地方,a,0046,下桂沢,シモカツラザワ,43.256667,141.968333,265,1,0,0,0,0,0,20080901,
15,空知地方,a,0047,長沼,ナガヌマ,43.011667,141.693333,13,1,1,1,2,0,1,99999999,
15,空知地方,a,0048,丁未山,テイミヤマ,43.081667,141.956667,663,1,0,0,0,0,0,19830729,
15,空知地方,a,0049,夕張,ユウバリ,43.038333,141.956667,293,1,1,1,2,1,1,99999999,
15,空知地方,a,0050,登川山,ノボリカワヤマ,42.923333,142.095000,365,1,0,0,0,0,0,19830729,
15,空知地方,a,0999,月形,ツキガタ,43.330000,141.616667,50,1,1,1,2,0,0,99999999,
15,空知地方,a,1068,栗沢,クリサワ,43.121667,141.745000,20,1,0,0,0,0,0,99999999,
15,空知地方,a,1270,晩生内,オソキナイ,43.405000,141.750000,140,1,0,0,0,0,0,19830801,
15,空知地方,a,1271,桜山,サクラヤマ,43.681667,141.850000,230,1,0,0,0,0,0,20051101,
15,空知地方,a,1287,空知吉野,ソラチヨシノ,43.595000,141.731667,100,1,1,1,2,0,0,99999999,
15,空知地方,a,1400,浦臼,ウラウス,43.428333,141.808333,25,1,0,0,0,0,0,99999999,
15,空知地方,a,1401,鹿島,カシマ,43.080000,142.100000,310,1,0,0,0,0,0,99999999,
15,空知地方,a,1402,沼の沢,ヌマノサワ,42.960000,142.020000,161,1,0,0,0,0,0,99999999,
15,空知地方,a,1419,新城,シンジョウ,43.611667,142.203333,147,1,0,0,0,0,0,99999999,
15,空知地方,a,1566,赤平,アカビラ,43.553333,142.066667,120,1,0,0,0,0,0,99999999,
15,空知地方,a,1567,雨竜,ウリュウ,43.660000,141.891667,42,1,0,0,0,0,0,99999999,
15,空知地方,a,1674,秩父別,チップベツ,43.780000,141.961667,51,1,1,1,2,1,1,99999999,
16,後志地方,a,0051,美国,ビクニ,43.271667,140.563333,75,1,1,1,2,0,0,99999999,
16,後志地方,a,0052,余市,ヨイチ,43.181667,140.758333,20,1,1,1,2,1,0,99999999,
16,後志地方,s,47411,小樽,オタル,43.181667,141.015000,24.9,1,1,1,1,1,1,99999999,
16,後志地方,a,0054,共和,キョウワ,42.980000,140.603333,15,1,1,1,2,1,0,99999999,2008年11月12日までの地点名「岩内」
16,後志地方,a,0055,蘭越,ランコシ,42.810000,140.541667,39,1,1,1,2,1,0,99999999,
